VA4200WZ-VA4200ZB Sinope Valve;;;;;VA4200ZB;;;;;;;;;;VA4200ZB;;;;;;;SmartThingsPublic/devicetypes/sinope-technologies/va4200wz-va4200zb-sinope-valve.src/va4200wz-va4200zb-sinope-valve.groovy
SW2500ZB Sinope Switch;;;;;SW2500ZB;;;;;;;;;;SW2500ZB;;;;Sinope Technologies;;;SmartThingsPublic/devicetypes/sinope-technologies/sw2500zb-sinope-switch.src/sw2500zb-sinope-switch.groovy
TH1400ZB Sinope Thermostat;;;;;TH1400ZB;;;;;;;;;;Sinope TH1400ZB Thermostat;;;;Sinope Technologies;;;SmartThingsPublic/devicetypes/sinope-technologies/th1400zb-sinope-thermostat.src/th1400zb-sinope-thermostat.groovy
TH1500ZB Sinope Thermostat;;;;;TH1500ZB;;;;;;;;;;Sinope TH1500ZB Thermostat;;;;Sinope Technologies;;;SmartThingsPublic/devicetypes/sinope-technologies/th1500zb-sinope-thermostat.src/th1500zb-sinope-thermostat.groovy
RM3250ZB Sinope Load Controller;;;;;RM3250ZB;;;;;;;;;;RM3250ZB;;;;Sinope Technologies;;;SmartThingsPublic/devicetypes/sinope-technologies/rm3250zb-sinope-load-controller.src/rm3250zb-sinope-load-controller.groovy
ZigBee White Color Temperature Bulb;;SmartThings;0104;;RB 248 T;;;;0000, 0003, 0004, 0005, 0006, 0008, 0300, 1000;0019;;;;;Innr Smart Candle Comfort;;generic-color-temperature-bulb-2200K-5000K;;innr;;;SmartThingsPublic/devicetypes/smartthings/zigbee-white-color-temperature-bulb.src/zigbee-white-color-temperature-bulb.groovy
ZigBee White Color Temperature Bulb;;SmartThings;0104;;RB 278 T;;;;0000, 0003, 0004, 0005, 0006, 0008, 0300, 1000;0019;;;;;Innr Smart Bulb Comfort;;generic-color-temperature-bulb-2200K-5000K;;innr;;;SmartThingsPublic/devicetypes/smartthings/zigbee-white-color-temperature-bulb.src/zigbee-white-color-temperature-bulb.groovy
ZigBee White Color Temperature Bulb;;SmartThings;0104;;RS 228 T;;;;0000, 0003, 0004, 0005, 0006, 0008, 0300, 1000;0019;;;;;Innr Smart Spot Comfort;;generic-color-temperature-bulb-2200K-5000K;;innr;;;SmartThingsPublic/devicetypes/smartthings/zigbee-white-color-temperature-bulb.src/zigbee-white-color-temperature-bulb.groovy
ZigBee White Color Temperature Bulb;;;0104;;LIGHTIFY BR Tunable White;;;;0000, 0003, 0004, 0005, 0006, 0008, 0300, 0B04, FC0F;0019;;;;;SYLVANIA Smart BR30 Tunable White;;;;OSRAM;;;SmartThingsPublic/devicetypes/smartthings/zigbee-white-color-temperature-bulb.src/zigbee-white-color-temperature-bulb.groovy
ZigBee White Color Temperature Bulb;;;0104;;LIGHTIFY RT Tunable White;;;;0000, 0003, 0004, 0005, 0006, 0008, 0300, 0B04, FC0F;0019;;;;;SYLVANIA Smart RT5/6 Tunable White;;;;OSRAM;;;SmartThingsPublic/devicetypes/smartthings/zigbee-white-color-temperature-bulb.src/zigbee-white-color-temperature-bulb.groovy
ZigBee White Color Temperature Bulb;;;0104;;Classic A60 TW;;;;0000, 0003, 0004, 0005, 0006, 0008, 0300, 0B04, FC0F;0019;;;;;OSRAM SMART+ LED Classic A60 Tunable White;;;;OSRAM;;;SmartThingsPublic/devicetypes/smartthings/zigbee-white-color-temperature-bulb.src/zigbee-white-color-temperature-bulb.groovy
ZigBee White Color Temperature Bulb;;;0104;;LIGHTIFY A19 Tunable White;;;;0000, 0003, 0004, 0005, 0006, 0008, 0300, 0B04, FC0F;0019;;;;;SYLVANIA Smart A19 Tunable White;;;;OSRAM;;;SmartThingsPublic/devicetypes/smartthings/zigbee-white-color-temperature-bulb.src/zigbee-white-color-temperature-bulb.groovy
ZigBee White Color Temperature Bulb;;;0104;;Classic B40 TW - LIGHTIFY;;;;0000, 0003, 0004, 0005, 0006, 0008, 0300, 0B04, FC0F;0019;;;;;OSRAM SMART+ Classic B40 Tunable White;;;;OSRAM;;;SmartThingsPublic/devicetypes/smartthings/zigbee-white-color-temperature-bulb.src/zigbee-white-color-temperature-bulb.groovy
ZigBee White Color Temperature Bulb;;;0104;;A19 TW 10 year;;;;0000, 0003, 0004, 0005, 0006, 0008, 0300, 0B04, 0B05, FC01, FC08;0003, 0019;;;;;SYLVANIA Smart 10Y A19 TW;;;;LEDVANCE;;;SmartThingsPublic/devicetypes/smartthings/zigbee-white-color-temperature-bulb.src/zigbee-white-color-temperature-bulb.groovy
ZigBee White Color Temperature Bulb;;;0104;;LIGHTIFY Conv Under Cabinet TW;;;;0000, 0003, 0004, 0005, 0006, 0008, 0300, 0B04, FC0F;0019;;;;;SYLVANIA Smart Convertible Under Cabinet;;;;OSRAM;;;SmartThingsPublic/devicetypes/smartthings/zigbee-white-color-temperature-bulb.src/zigbee-white-color-temperature-bulb.groovy
ZigBee White Color Temperature Bulb;;;0104;;ColorstripRGBW;;;;0000, 0003, 0004, 0005, 0006, 0008, 0300, 0B04, FC0F;0019;;;;;SYLVANIA Smart Convertible Under Cabinet;;;;OSRAM;;;SmartThingsPublic/devicetypes/smartthings/zigbee-white-color-temperature-bulb.src/zigbee-white-color-temperature-bulb.groovy
ZigBee White Color Temperature Bulb;;;0104;;LIGHTIFY Edge-lit Flushmount TW;;;;0000, 0003, 0004, 0005, 0006, 0008, 0300, FC0F;0019;;;;;SYLVANIA Smart Edge-lit Flushmount TW;;;;OSRAM;;;SmartThingsPublic/devicetypes/smartthings/zigbee-white-color-temperature-bulb.src/zigbee-white-color-temperature-bulb.groovy
ZigBee White Color Temperature Bulb;;;0104;;MR16 TW;;;;0000, 0003, 0004, 0005, 0006, 0008, 0300, 0B05, FC01;0003, 0019;;;;;SYLVANIA Smart MR16 Tunable White;;;;LEDVANCE;;;SmartThingsPublic/devicetypes/smartthings/zigbee-white-color-temperature-bulb.src/zigbee-white-color-temperature-bulb.groovy
ZigBee White Color Temperature Bulb;;;0104;;LIGHTIFY Surface TW;;;;0000, 0003, 0004, 0005, 0006, 0008, 0300, 0B04, FC0F;0019;;;;;SYLVANIA Smart Surface Tunable White;;;;OSRAM;;;SmartThingsPublic/devicetypes/smartthings/zigbee-white-color-temperature-bulb.src/zigbee-white-color-temperature-bulb.groovy
ZigBee White Color Temperature Bulb;;;0104;;LIGHTIFY Under Cabinet TW;;;;0000, 0003, 0004, 0005, 0006, 0008, 0300, FC0F;0019;;;;;SYLVANIA Smart Under Cabinet TW;;;;OSRAM;;;SmartThingsPublic/devicetypes/smartthings/zigbee-white-color-temperature-bulb.src/zigbee-white-color-temperature-bulb.groovy
ZigBee White Color Temperature Bulb;;;0104;;BR30 TW;;;;0000, 0003, 0004, 0005, 0006, 0008, 0300, 0B05, FC01;0019;;;;;SYLVANIA Smart+ Adustable White BR30;;;;LEDVANCE;;;SmartThingsPublic/devicetypes/smartthings/zigbee-white-color-temperature-bulb.src/zigbee-white-color-temperature-bulb.groovy
ZigBee White Color Temperature Bulb;;;0104;;RT TW;;;;0000, 0003, 0004, 0005, 0006, 0008, 0300, 0B05, FC01;0019;;;;;SYLVANIA Smart+ Adustable White RT5/6;;;;LEDVANCE;;;SmartThingsPublic/devicetypes/smartthings/zigbee-white-color-temperature-bulb.src/zigbee-white-color-temperature-bulb.groovy
ZigBee White Color Temperature Bulb;;;0104;;LIGHTIFY Edge-lit flushmount;;;;0000, 0003, 0004, 0005, 0006, 0008, 0300, FC0F;0019;;;;;SYLVANIA SMART+ Flush Mount;;;;OSRAM;;;SmartThingsPublic/devicetypes/smartthings/zigbee-white-color-temperature-bulb.src/zigbee-white-color-temperature-bulb.groovy
ZigBee White Color Temperature Bulb;;;0104;;S111-202A;;;;0000, 0003, 0004, 0005, 0006, 0008, 0300, 0B05, 1000, FEDC;000A, 0019;;;;;Leedarson Tunable White Bulb A19;;;;Smarthome;;;SmartThingsPublic/devicetypes/smartthings/zigbee-white-color-temperature-bulb.src/zigbee-white-color-temperature-bulb.groovy
ZigBee White Color Temperature Bulb;;;0104;;ZBT-ColorTemperature;;;;0000, 0003, 0004, 0005, 0006, 0008, 0300, 1000;0019;;;;;MÃ¼ller Licht Tint White Bulb;;;;MLI;;;SmartThingsPublic/devicetypes/smartthings/zigbee-white-color-temperature-bulb.src/zigbee-white-color-temperature-bulb.groovy
ZigBee White Color Temperature Bulb;;;0104;;Z01-A19NAE26;;;;0000, 0003, 0004, 0005, 0006, 0008, 0300, 0702, 0B05;0019;;;;;Sengled Element Plus;;;;sengled;;;SmartThingsPublic/devicetypes/smartthings/zigbee-white-color-temperature-bulb.src/zigbee-white-color-temperature-bulb.groovy
ZigBee White Color Temperature Bulb;;;0104;;Z01-A191AE26W;;;;0000, 0003, 0004, 0005, 0006, 0008, 0300, 0702, 0B05;0019;;;;;Sengled Element Plus;;;;sengled;;;SmartThingsPublic/devicetypes/smartthings/zigbee-white-color-temperature-bulb.src/zigbee-white-color-temperature-bulb.groovy
ZigBee White Color Temperature Bulb;;;0104;;Z01-A60EAB22;;;;0000, 0003, 0004, 0005, 0006, 0008, 0300, 0702, 0B05;0019;;;;;Sengled Element Plus;;;;sengled;;;SmartThingsPublic/devicetypes/smartthings/zigbee-white-color-temperature-bulb.src/zigbee-white-color-temperature-bulb.groovy
ZigBee White Color Temperature Bulb;;;0104;;Z01-A60EAE27;;;;0000, 0003, 0004, 0005, 0006, 0008, 0300, 0702, 0B05;0019;;;;;Sengled Element Plus;;;;sengled;;;SmartThingsPublic/devicetypes/smartthings/zigbee-white-color-temperature-bulb.src/zigbee-white-color-temperature-bulb.groovy
ZigBee White Color Temperature Bulb;;;0104;;3RSL011Z;;;;0000, 0003, 0004, 0005, 0006, 0008, 0300;0019;;;;;RealityLight;;;;Third Reality, Inc;;;SmartThingsPublic/devicetypes/smartthings/zigbee-white-color-temperature-bulb.src/zigbee-white-color-temperature-bulb.groovy
ZigBee White Color Temperature Bulb;;;0104;;3RSL012Z;;;;0000, 0003, 0004, 0005, 0006, 0008, 0300;0019;;;;;RealityLight;;;;Third Reality, Inc;;;SmartThingsPublic/devicetypes/smartthings/zigbee-white-color-temperature-bulb.src/zigbee-white-color-temperature-bulb.groovy
Z-Wave Door/Temp Sensor;;;;2003;B41C;;;;;;;;;;Inovelli Door/Temp Sensor;;;015D;;;;SmartThingsPublic/devicetypes/smartthings/zwave-door-temp-sensor.src/zwave-door-temp-sensor.groovy
Z-Wave Door/Temp Sensor;;;;2003;C11C;;;;;;;;;;Inovelli Door/Temp Sensor;;;0312;;;;SmartThingsPublic/devicetypes/smartthings/zwave-door-temp-sensor.src/zwave-door-temp-sensor.groovy
Z-Wave Door/Temp Sensor;;;;2003;C11C;;;;;;;;;;Inovelli Door/Temp Sensor;;;015D;;;;SmartThingsPublic/devicetypes/smartthings/zwave-door-temp-sensor.src/zwave-door-temp-sensor.groovy
Z-Wave Door/Temp Sensor;;;;C100;C100;;;;;;;;;;Inovelli Door/Temp Sensor;;;015D;;;;SmartThingsPublic/devicetypes/smartthings/zwave-door-temp-sensor.src/zwave-door-temp-sensor.groovy
Z-Wave Door/Temp Sensor;;;;C100;C100;;;;;;;;;;Inovelli Door/Temp Sensor;;;0312;;;;SmartThingsPublic/devicetypes/smartthings/zwave-door-temp-sensor.src/zwave-door-temp-sensor.groovy
Z-Wave Dimmer Switch Generic;;;;;;;;;0x26;;;;;;Z-Wave Dimmer;;;;;;;SmartThingsPublic/devicetypes/smartthings/zwave-dimmer-switch-generic.src/zwave-dimmer-switch-generic.groovy
Z-Wave Dimmer Switch Generic;;;;1902;;;;;;;;;;;Z-Wave Dimmer;;;001D;;;;SmartThingsPublic/devicetypes/smartthings/zwave-dimmer-switch-generic.src/zwave-dimmer-switch-generic.groovy
Z-Wave Dimmer Switch Generic;;;;3301;0001;;;;;;;;;;Leviton Dimmer Switch;;;001D;;;;SmartThingsPublic/devicetypes/smartthings/zwave-dimmer-switch-generic.src/zwave-dimmer-switch-generic.groovy
Z-Wave Dimmer Switch Generic;;;;3201;0001;;;;;;;;;;Leviton Dimmer Switch;;;001D;;;;SmartThingsPublic/devicetypes/smartthings/zwave-dimmer-switch-generic.src/zwave-dimmer-switch-generic.groovy
Z-Wave Dimmer Switch Generic;;;;1B03;0334;;;;;;;;;;Leviton Universal Dimmer;;;001D;;;;SmartThingsPublic/devicetypes/smartthings/zwave-dimmer-switch-generic.src/zwave-dimmer-switch-generic.groovy
Z-Wave Dimmer Switch Generic;;;;0102;0201;;;;;;;;;;Enerwave In-Wall Dimmer;;;011A;;;;SmartThingsPublic/devicetypes/smartthings/zwave-dimmer-switch-generic.src/zwave-dimmer-switch-generic.groovy
Z-Wave Dimmer Switch Generic;;;;0602;0334;;;;;;;;;;Leviton Magnetic Low Voltage Dimmer;;;001D;;;;SmartThingsPublic/devicetypes/smartthings/zwave-dimmer-switch-generic.src/zwave-dimmer-switch-generic.groovy
Z-Wave Dimmer Switch Generic;;;;0401;0334;;;;;;;;;;Leviton 600W Incandescent Dimmer;;;001D;;;;SmartThingsPublic/devicetypes/smartthings/zwave-dimmer-switch-generic.src/zwave-dimmer-switch-generic.groovy
Z-Wave Dimmer Switch Generic;;;;8200;0200;oic.d.smartplug;;;;;;;;;Remotec Technology Plug-In Dimmer;;;0111;;;;SmartThingsPublic/devicetypes/smartthings/zwave-dimmer-switch-generic.src/zwave-dimmer-switch-generic.groovy
Z-Wave Dimmer Switch Generic;;;;001D;0501;;;;;;;;;;Leviton 1000W Incandescant Dimmer;;;1104;;;;SmartThingsPublic/devicetypes/smartthings/zwave-dimmer-switch-generic.src/zwave-dimmer-switch-generic.groovy
Z-Wave Dimmer Switch Generic;;;;5044;3033;oic.d.smartplug;;;;;;;;;Honeywell Z-Wave Plug-in Dimmer (Dual Outlet);;;0039;;;;SmartThingsPublic/devicetypes/smartthings/zwave-dimmer-switch-generic.src/zwave-dimmer-switch-generic.groovy
Z-Wave Dimmer Switch Generic;;;;5044;3038;oic.d.smartplug;;;;;;;;;Honeywell Z-Wave Plug-in Dimmer;;;0039;;;;SmartThingsPublic/devicetypes/smartthings/zwave-dimmer-switch-generic.src/zwave-dimmer-switch-generic.groovy
Z-Wave Dimmer Switch Generic;;;;4944;3038;;;;;;;;;;Honeywell Z-Wave In-Wall Smart Dimmer;;;0039;;;;SmartThingsPublic/devicetypes/smartthings/zwave-dimmer-switch-generic.src/zwave-dimmer-switch-generic.groovy
Z-Wave Dimmer Switch Generic;;;;4944;3130;;;;;;;;;;Honeywell Z-Wave In-Wall Smart Toggle Dimmer;;;0039;;;;SmartThingsPublic/devicetypes/smartthings/zwave-dimmer-switch-generic.src/zwave-dimmer-switch-generic.groovy
Z-Wave Dimmer Switch Generic;;;;4449;0101;;;;;;;;;;Eaton RF Master Dimmer;;;001A;;;;SmartThingsPublic/devicetypes/smartthings/zwave-dimmer-switch-generic.src/zwave-dimmer-switch-generic.groovy
Z-Wave Dimmer Switch Generic;;;;4449;0003;oic.d.smartplug;;;;;;;;;Eaton RF Dimming Plug-In Module;;;001A;;;;SmartThingsPublic/devicetypes/smartthings/zwave-dimmer-switch-generic.src/zwave-dimmer-switch-generic.groovy
Z-Wave Dimmer Switch Generic;;;;5744;3530;;;;;;;;;;GoControl In-Wall Dimmer;;;014F;;;;SmartThingsPublic/devicetypes/smartthings/zwave-dimmer-switch-generic.src/zwave-dimmer-switch-generic.groovy
Z-Wave Dimmer Switch Generic;;;;4447;3034;;;;;;;;;;Satco In-Wall Dimmer;;;0307;;;;SmartThingsPublic/devicetypes/smartthings/zwave-dimmer-switch-generic.src/zwave-dimmer-switch-generic.groovy
Z-Wave Dimmer Switch Generic;;;;4744;3032;oic.d.smartplug;;;;;;;;;Satco Plug-In Dimmer;;;0184;;;;SmartThingsPublic/devicetypes/smartthings/zwave-dimmer-switch-generic.src/zwave-dimmer-switch-generic.groovy
Z-Wave Dimmer Switch Generic;;;;0201;D002;;;;;;;;;;RGBgenie ZW-1001 Z-Wave Dimmer;;;0330;;;;SmartThingsPublic/devicetypes/smartthings/zwave-dimmer-switch-generic.src/zwave-dimmer-switch-generic.groovy
Z-Wave Dimmer Switch Generic;;;;B112;1F1C;;;;;;;;;;Zooz ZEN22 Dimmer;;;027A;;;;SmartThingsPublic/devicetypes/smartthings/zwave-dimmer-switch-generic.src/zwave-dimmer-switch-generic.groovy
Z-Wave Dimmer Switch Generic;;;;A000;A002;;;;;;;;;;Zooz ZEN27 Dimmer;;;027A;;;;SmartThingsPublic/devicetypes/smartthings/zwave-dimmer-switch-generic.src/zwave-dimmer-switch-generic.groovy
Z-Wave Dimmer Switch Generic;;;;B112;261C;;;;;;;;;;Zooz ZEN24 Dimmer;;;027A;;;;SmartThingsPublic/devicetypes/smartthings/zwave-dimmer-switch-generic.src/zwave-dimmer-switch-generic.groovy
Z-Wave Dimmer Switch Generic;;;;0003;0005;oic.d.light;;;;;;;;;ilumin Dimmable Bulb;;;0300;;;;SmartThingsPublic/devicetypes/smartthings/zwave-dimmer-switch-generic.src/zwave-dimmer-switch-generic.groovy
Z-Wave Dimmer Switch Generic;;;;FF00;FF04;;;;;;;;;;Minoston Smart Dimmer Switch;;;0312;;;;SmartThingsPublic/devicetypes/smartthings/zwave-dimmer-switch-generic.src/zwave-dimmer-switch-generic.groovy
Z-Wave Dimmer Switch Generic;;;;FF00;FF02;;;;;;;;;;Minoston Toggle Dimmer Switch;;;0312;;;;SmartThingsPublic/devicetypes/smartthings/zwave-dimmer-switch-generic.src/zwave-dimmer-switch-generic.groovy
Z-Wave Dimmer Switch Generic;;;;AA00;AA02;;;;;;;;;;Evalogik Smart Dimmer Switch;;;0312;;;;SmartThingsPublic/devicetypes/smartthings/zwave-dimmer-switch-generic.src/zwave-dimmer-switch-generic.groovy
Z-Wave Dimmer Switch Generic;;;;C000;C002;;;;;;;;;;Evalogik Smart Plug Dimmer;;;0312;;;;SmartThingsPublic/devicetypes/smartthings/zwave-dimmer-switch-generic.src/zwave-dimmer-switch-generic.groovy
Ikea Button;;SmartThings;;;TRADFRI remote control;;;;0000, 0001, 0003, 0009, 0B05, 1000;0003, 0004, 0005, 0006, 0008, 0019, 1000;;;;;IKEA TRÃDFRI Remote;;SmartThings-smartthings-IKEA_TRADFRI_Remote_Control;;IKEA of Sweden;;;SmartThingsPublic/devicetypes/smartthings/ikea-button.src/ikea-button.groovy
Ikea Button;;SmartThings;;;TRADFRI on/off switch;;;;0000, 0001, 0003, 0009, 0102, 1000, FC7C;0003, 0004, 0006, 0008, 0019, 0102, 1000;;;;;IKEA TRÃDFRI On/Off switch;;SmartThings-smartthings-IKEA_TRADFRI_On/Off_Switch;;IKEA of Sweden;;;SmartThingsPublic/devicetypes/smartthings/ikea-button.src/ikea-button.groovy
Ikea Button;;SmartThings;;;TRADFRI open/close remote;;;;;;;;;;IKEA TRÃDFRI Open/Close Remote;;SmartThings-smartthings-IKEA_TRADFRI_open/close_remote;;IKEA of Sweden;;;SmartThingsPublic/devicetypes/smartthings/ikea-button.src/ikea-button.groovy
Ikea Button;;SmartThings;;;TRADFRI open/close remote;;;;;;;;;;IKEA TRÃDFRI Open/Close Remote;;SmartThings-smartthings-IKEA_TRADFRI_open/close_remote;;KE;;;SmartThingsPublic/devicetypes/smartthings/ikea-button.src/ikea-button.groovy
Aeon Key Fob;;;;0101;0058;;;;;;;;;;Aeotec Key Fob;;;0086;;;;SmartThingsPublic/devicetypes/smartthings/aeon-key-fob.src/aeon-key-fob.groovy
Aeon Key Fob;;;;0001;0026;;;;;;;;;;Aeotec Panic Button;;;0086;;;;SmartThingsPublic/devicetypes/smartthings/aeon-key-fob.src/aeon-key-fob.groovy
Qubino Flush Thermostat;;;;0005;0054;;;;;;;;;;Qubino Flush On/Off Thermostat 2;;;0159;;;;SmartThingsPublic/devicetypes/smartthings/qubino-flush-thermostat.src/qubino-flush-thermostat.groovy
ZigBee Sound Sensor;;;0104;;FFZB1-SM-ECO;;;;0000,0001,0003,0020,0402,0500,0B05;0019;;;;;Ecolink Firefighter;;;;Ecolink;;;SmartThingsPublic/devicetypes/smartthings/zigbee-sound-sensor.src/zigbee-sound-sensor.groovy
GE Link Bulb;;;0104;;ZLL Light;;;;0000,0003,0004,0005,0006,0008,1000;0019;;;;;GE Link Bulb;;;;GE_Appliances;;;SmartThingsPublic/devicetypes/smartthings/ge-link-bulb.src/ge-link-bulb.groovy
GE Link Bulb;;;0104;;SoftWhite;;;;0000,0003,0004,0005,0006,0008,1000;0019;;;;;GE Link Soft White Bulb;;;;GE;;;SmartThingsPublic/devicetypes/smartthings/ge-link-bulb.src/ge-link-bulb.groovy
GE Link Bulb;;;0104;;Daylight;;;;0000,0003,0004,0005,0006,0008,1000;0019;;;;;GE Link Daylight Bulb;;;;GE;;;SmartThingsPublic/devicetypes/smartthings/ge-link-bulb.src/ge-link-bulb.groovy
Z-Wave Multi Button;;SmartThings;;1001;1000;;;;;;;;;;Fibaro KeyFob;;generic-6-button;010F;;;;SmartThingsPublic/devicetypes/smartthings/zwave-multi-button.src/zwave-multi-button.groovy
Z-Wave Multi Button;;SmartThings;;1001;2000;;;;;;;;;;Fibaro KeyFob;;generic-6-button;010F;;;;SmartThingsPublic/devicetypes/smartthings/zwave-multi-button.src/zwave-multi-button.groovy
Z-Wave Multi Button;;SmartThings;;0102;0003;;;;;;;;;;Aeotec NanoMote Quad;;generic-4-button;0371;;;;SmartThingsPublic/devicetypes/smartthings/zwave-multi-button.src/zwave-multi-button.groovy
Z-Wave Multi Button;;SmartThings;;0002;0003;;;;;;;;;;Aeotec NanoMote Quad;;generic-4-button;0371;;;;SmartThingsPublic/devicetypes/smartthings/zwave-multi-button.src/zwave-multi-button.groovy
Z-Wave Multi Button;;SmartThings;;0101;0058;;;;;;;;;;Aeotec KeyFob;;generic-4-button;0086;;;;SmartThingsPublic/devicetypes/smartthings/zwave-multi-button.src/zwave-multi-button.groovy
Z-Wave Multi Button;;SmartThings;;0001;0058;;;;;;;;;;Aeotec KeyFob;;generic-4-button;0086;;;;SmartThingsPublic/devicetypes/smartthings/zwave-multi-button.src/zwave-multi-button.groovy
Z-Wave Multi Button;;SmartThings;;1001;3000;;;;;;;;;;Fibaro KeyFob;;generic-6-button;010F;;;;SmartThingsPublic/devicetypes/smartthings/zwave-multi-button.src/zwave-multi-button.groovy
Stelpro Ki ZigBee Thermostat;;;0104;;STZB402+;;;;0000, 0003, 0004, 0201, 0204;0402;;;;;Stelpro Ki ZigBee Thermostat;;;;Stelpro;;;SmartThingsPublic/devicetypes/stelpro/stelpro-ki-zigbee-thermostat.src/stelpro-ki-zigbee-thermostat.groovy
Stelpro Ki ZigBee Thermostat;;;0104;;ST218;;;;0000, 0003, 0004, 0201, 0204;0402;;;;;Stelpro ORLÃANS Convector;;;;Stelpro;;;SmartThingsPublic/devicetypes/stelpro/stelpro-ki-zigbee-thermostat.src/stelpro-ki-zigbee-thermostat.groovy
Stelpro Maestro Thermostat;;;0104;;MaestroStat;;;;0000, 0003, 0004, 0201, 0204, 0405;0003, 000A, 0402;;;;;Stelpro Maestro Thermostat;;;;Stelpro;;;SmartThingsPublic/devicetypes/stelpro/stelpro-maestro-thermostat.src/stelpro-maestro-thermostat.groovy
Stelpro Maestro Thermostat;;SmartThings;0104;;SORB;;;;0000, 0003, 0004, 0201, 0204, 0405;0003, 000A, 0402;;;;;Stelpro ORLÃANS Fan Heater;;SmartThings-smartthings-Stelpro_Orleans_Sonoma_Fan_Thermostat;;Stelpro;;;SmartThingsPublic/devicetypes/stelpro/stelpro-maestro-thermostat.src/stelpro-maestro-thermostat.groovy
Stelpro Maestro Thermostat;;SmartThings;0104;;SonomaStyle;;;;0000, 0003, 0004, 0201, 0204, 0405;0003, 000A, 0402;;;;;Stelpro Sonoma Style Fan Heater;;SmartThings-smartthings-Stelpro_Orleans_Sonoma_Fan_Thermostat;;Stelpro;;;SmartThingsPublic/devicetypes/stelpro/stelpro-maestro-thermostat.src/stelpro-maestro-thermostat.groovy
Stelpro Ki Thermostat;;;;0001;0001;;0x0806;;0x5E,0x86,0x72,0x40,0x43,0x31,0x85,0x59,0x5A,0x73,0x20,0x42;;;;;;Stelpro Ki Thermostat;;;0239;;;;SmartThingsPublic/devicetypes/stelpro/stelpro-ki-thermostat.src/stelpro-ki-thermostat.groovy
Zen Thermostat;;;0104;;Zen-01;;;;0000,0001,0003,0004,0005,0020,0201,0202,0204,0B05;000A, 0019;;01;;;Zen Thermostat;;;;Zen Within;;;SmartThingsPublic/devicetypes/zenwithin/zen-thermostat.src/zen-thermostat.groovy
Rooms Beautiful Curtain;;;0104;;;;;;0000, 0001, 0003, 0006, FC00, DC00, 0102,;;;;;;Curtain;;;;Rooms Beautiful;;;SmartThingsPublic/devicetypes/rooms-beautiful/rooms-beautiful-curtain.src/rooms-beautiful-curtain.groovy
Inovelli 2-Channel Smart Plug;;;;0221;251C;;;;;;;;;;Show Home 2-Channel Smart Plug;;;;015D;;;SmartThingsPublic/devicetypes/erocm123/inovelli-2-channel-smart-plug.src/inovelli-2-channel-smart-plug.groovy
Inovelli 2-Channel Smart Plug;;;;0221;251C;;;;;;;;;;Inovelli 2-Channel Smart Plug;;;;0312;;;SmartThingsPublic/devicetypes/erocm123/inovelli-2-channel-smart-plug.src/inovelli-2-channel-smart-plug.groovy
Inovelli 2-Channel Smart Plug;;;;B221;251C;;;;;;;;;;Inovelli 2-Channel Smart Plug;;;;0312;;;SmartThingsPublic/devicetypes/erocm123/inovelli-2-channel-smart-plug.src/inovelli-2-channel-smart-plug.groovy
Inovelli 2-Channel Smart Plug;;;;0221;611C;;;;;;;;;;Inovelli 2-Channel Outdoor Smart Plug;;;;0312;;;SmartThingsPublic/devicetypes/erocm123/inovelli-2-channel-smart-plug.src/inovelli-2-channel-smart-plug.groovy
Inovelli 2-Channel Smart Plug;;;;0221;611C;;;;;;;;;;Inovelli 2-Channel Outdoor Smart Plug;;;;015D;;;SmartThingsPublic/devicetypes/erocm123/inovelli-2-channel-smart-plug.src/inovelli-2-channel-smart-plug.groovy
Inovelli 2-Channel Smart Plug;;;;6100;6100;;;;;;;;;;Inovelli 2-Channel Outdoor Smart Plug;;;;015D;;;SmartThingsPublic/devicetypes/erocm123/inovelli-2-channel-smart-plug.src/inovelli-2-channel-smart-plug.groovy
Inovelli 2-Channel Smart Plug;;;;6100;6100;;;;;;;;;;Inovelli 2-Channel Outdoor Smart Plug;;;;0312;;;SmartThingsPublic/devicetypes/erocm123/inovelli-2-channel-smart-plug.src/inovelli-2-channel-smart-plug.groovy
Inovelli 2-Channel Smart Plug;;;;2500;2500;;;;;;;;;;Inovelli 2-Channel Smart Plug w/Scene;;;;015D;;;SmartThingsPublic/devicetypes/erocm123/inovelli-2-channel-smart-plug.src/inovelli-2-channel-smart-plug.groovy
AXIS Gear ST;;;;;Gear;;;;;;;;;0104;AXIS Gear;;;;AXIS;;;SmartThingsPublic/devicetypes/axis/axis-gear-st.src/axis-gear-st.groovy
AXIS Gear ST;;;0104;;Gear;;0202;;0000, 0003, 0006, 0008, 0102, 0020, 0001;0019;;;;;AXIS Gear;;;;AXIS;;;SmartThingsPublic/devicetypes/axis/axis-gear-st.src/axis-gear-st.groovy
AXIS Gear ST;;;0104, C25D;;Gear;;0202;;0000, 0003, 0006, 0008, 0102, 0020, 0001;0019;;;;;AXIS Gear;01, C4;;;AXIS;;;SmartThingsPublic/devicetypes/axis/axis-gear-st.src/axis-gear-st.groovy
Fibaro Wall Plug EU ZW5;;;;0602;1001;;;;;;;;;;Fibaro Wall Plug EU ZW5;;;010F;;;;SmartThingsPublic/devicetypes/fibargroup/fibaro-wall-plug-eu-zw5.src/fibaro-wall-plug-eu-zw5.groovy
